n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,silhouette_score,davies_bouldin_score,calinski_harabasz_score
27,26,0.15,euclidean,23,17,0.47082418,0.5252387806627037,9149.189005415994
27,26,0.15,euclidean,28,14,0.45143533,0.5767158846808239,11003.875609251987
27,26,0.15,euclidean,22,18,0.47308695,0.5215444141376446,8933.688340431027
27,26,0.15,euclidean,29,13,0.36365223,0.5991594710996844,4719.1163279519415
27,26,0.15,euclidean,21,19,0.43225667,0.5219462312793355,8693.374983818667
27,26,0.15,euclidean,30,12,0.41966602,0.2884419136345321,2011.1630616149469
27,26,0.15,euclidean,20,20,0.3877381,0.5393921554438112,4713.063652921128
32,23,0.02,euclidean,25,15,0.51079863,0.5106651324648132,17182.663239212743
32,23,0.02,euclidean,26,16,0.46169493,0.5166310321319816,17275.70555136165
32,23,0.02,euclidean,24,14,0.47199205,0.5067941088561579,14900.127968145789
32,23,0.02,euclidean,27,15,0.50389856,0.4958381745190127,17355.05535660375
32,23,0.02,euclidean,23,17,0.36968684,0.5146536752347846,5601.579675462859
32,23,0.02,euclidean,28,14,0.46906725,0.5308622668491403,13718.690264736679
32,23,0.02,euclidean,22,18,0.47312525,0.492048251178303,15855.81371302506
32,23,0.02,euclidean,29,13,0.4412303,0.5300574499457943,14737.110867998112
32,23,0.02,euclidean,21,19,0.52208024,0.4695348554496016,19553.593441715588
32,23,0.02,euclidean,30,12,0.42502862,0.5394960956766421,12943.045716623643
32,23,0.02,euclidean,20,20,0.47328532,0.47862418759272507,14185.101986865582
26,27,0.1,euclidean,25,15,0.4298125,0.5497773577901536,12454.48830245602
26,27,0.1,euclidean,26,16,0.4122761,0.5558304264098372,5080.642250216098
26,27,0.1,euclidean,24,14,0.46313947,0.5389688619025549,10178.450796167774
26,27,0.1,euclidean,27,15,0.4895754,0.5444121185830408,14358.99899964417
26,27,0.1,euclidean,23,17,0.45098627,0.514342057723347,9932.545574628399
26,27,0.1,euclidean,28,14,0.48885575,0.554109258218872,12935.108922009575
26,27,0.1,euclidean,22,18,0.4500778,0.5238325245204373,9847.870760117788
26,27,0.1,euclidean,29,13,0.37285832,0.5632736764116005,4977.40145904563
26,27,0.1,euclidean,21,19,0.46129274,0.505536802171344,11800.41031037128
26,27,0.1,euclidean,30,12,0.44313556,0.5613986843584936,13380.711509839923
26,27,0.1,euclidean,20,20,0.34928113,0.5340971518938862,4598.206765088068
